BANK NAME,BRANCH NAME,SORT CODE
BANK OF GHANA,BANK OF GHANA ACCRA BRANCH,010101
BANK OF GHANA,BANK OF GHANA -AGONA SWEDRU BRANCH,010303
BANK OF GHANA,BANK OF GHANA -TAKORADI BRANCH,010401
BANK OF GHANA,BANK OF GHANA -SEFWI BOAKO BRANCH,010402
BANK OF GHANA,BANK OF GHANA -KUMASI BRANCH,010601
BANK OF GHANA,BANK OF GHANA -SUNYANI BRANCH,010701
BANK OF GHANA,BANK OF GHANA -TAMALE BRANCH,010801
BANK OF GHANA,BANK OF GHANA - HOHOE BRANCH,011101
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-HIGH STREET BRANCH,020101
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD- INDEPENDENCE AVENUE BRANCH,020102
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-LIBERIA ROAD BRANCH,020104
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-OPEIBEA HOUSE BRANCH,020105
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-TEMA BRANCH,020106
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-LEGON BRANCH,020108
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-OSU BRANCH,020112
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-SPINTEX BRANCH,020118
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-DANSOMAN BRANCH,020121
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-ABEKA BRANCH,020126
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH)-ACHIMOTA BRANCH,020127
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD- NIA BRANCH,020129
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD- TEMA HABOUR BRANCH,020132
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD- WESTHILLS BRANCH,020133
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-LIBERIA ROAD TAKORADI BRANCH,020436
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD- KNUST BRANCH,020611
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-AHODWO BRANCH,020613
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-HARPER ROAD BRANCH,020615
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-OBUASI BRANCH,020617
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK(GH) LTD-TAMALE BRANCH,020823
ABSA (GH) LTD,ABSA (GH) LTD-KASOA BRANCH,030101
ABSA (GH) LTD,ABSA(GH) LTD-A AND C MALL BRANCH,030104
ABSA (GH) LTD,ABSA (GH) LTD-ACCRA MALL BRANCH,030105
ABSA (GH) LTD,ABSA (GH) LTD-ABEKA LAPAZ BRANCH,030106
ABSA (GH) LTD,ABSA (GH) LTD-DANSOMAN BRANCH,030107
ABSA (GH) LTD,ABSA(GH) LTD-GNPC BRANCH,030108
ABSA (GH) LTD,ABSA (GH) LTD-NIMA BRANCH,030109
ABSA (GH) LTD,ABSA (GH) LTD-LEGON BRANCH,030110
ABSA (GH) LTD,ABSA(GH) LTD-ACHIMOTA BRANCH,030111
ABSA (GH) LTD,ABSA (GH) LTD-OSU BRANCH,030112
ABSA (GH) LTD,ABSA (GH) LTD-RING ROAD CENTRAL BRANCH,030114
ABSA (GH) LTD,ABSA(GH) LTD -BCM BRANCH,030116
ABSA (GH) LTD,ABSA (GH) LTD-MOTORWAY EXT BRANCH,030117
ABSA (GH) LTD,ABSA(GH) LTD-SPINTEX MAIN BRANCH,030121
ABSA (GH) LTD,ABSA (GH) LTD-KNUTSFORD AVENUE BRANCH,030122
ABSA (GH) LTD,ABSA (GH) LTD-LEGON MAIN BRANCH,030125
ABSA (GH) LTD,ABSA (GH) LTD-TEMA FISHING HARBOUR BRANCH,030130
ABSA (GH) LTD,ABSA (GH) LTD-MAKOLA SQUARE BRANCH,030135
ABSA (GH) LTD,ABSA (GH) LTD-AIRPORT CITY BRANCH,030136
ABSA (GH) LTD,ABSA (GH) LTD-CIRCLE BRANCH,030141
ABSA (GH) LTD,ABSA (GH)LTD-ACCRA CORPORATE SERVICE CENTER BRANCH,030144
ABSA (GH) LTD,ABSA(GH) LTD-SPINTEX PRESTIGE BRANCH,030145
ABSA (GH) LTD,ABSA (GH) LTD-HIGH STREET BRANCH,030148
ABSA (GH) LTD,ABSA(GH) LTD-DIRECT SALES BRANCH,030149
ABSA (GH) LTD,ABSA (GH) LTD-AVENUE CENTRAL BRANCH,030154
ABSA (GH) LTD,ABSA(GH) LTD - UNDP BRANCH,030155
ABSA (GH) LTD,ABSA (GH) LTD-TEMA MAIN BRANCH,030160
ABSA (GH) LTD,ABSA(GH) LTD - SME CENTRE BRANCH,030161
ABSA (GH) LTD,ABSA(GH) LTD - AGBOBLOSHIE BRANCH,030162
ABSA (GH) LTD,ABSA(GH) LTD - MADINA BRANCH,030163
ABSA (GH) LTD,ABSA (GH) LTD-HEAD OFFICE BRANCH,030164
ABSA (GH) LTD,ABSA(GH) LTD - TESHIE NUNGUA BRANCH,030168
ABSA (GH) LTD,ABSA(GH) LTD - ACCRA NEWTOWN BRANCH,030169
ABSA (GH) LTD,ABSA(GH) LTD - DOME BRANCH,030170
ABSA (GH) LTD,ABSA (GH) LTD-DARKUMAN BRANCH,030173
ABSA (GH) LTD,ABSA (GH) LTD-INDEPENDENCE AVENUE BRANCH,030175
ABSA (GH) LTD,ABSA(GH) LTD - WEIJA BRANCH,030179
ABSA (GH) LTD,ABSA (GH) LTD-ASHAIMAN BRANCH,030184
ABSA (GH) LTD,ABSA(GH) LTD- HAATSO BRANCH,030185
ABSA (GH) LTD,ABSA (GH) LTD-KANESHIE BRANCH,030187
ABSA (GH) LTD,ABSA(GH) LTD - TEMA OIL REFINERY BRANCH,030189
ABSA (GH) LTD,ABSA (GH) LTD-NORTH KANESHIE BRANCH,030190
ABSA (GH) LTD,ABSA (GH) LTD-MAAMOBI BRANCH,030191
ABSA (GH) LTD,ABSA(GH) LTD- OFFSHORE BANKING,030192
ABSA (GH) LTD,ABSA (GH) LTD-MATAHEKO BRANCH,030193
ABSA (GH) LTD,ABSA(GH) LTD -ADENTA BRANCH,030194
ABSA (GH) LTD,ABSA(GH) LTD - ABOSSEY OKAI BRANCH,030195
ABSA (GH) LTD,ABSA(GH) LTD -KOTOBABI BRANCH,030196
ABSA (GH) LTD,ABSA(GH) LTD -PALM WINE JUNCTION BRANCH,030197
ABSA (GH) LTD,ABSA (GH) LTD-KOFORIDUA BRANCH,030242
ABSA (GH) LTD,ABSA(GH) LTD -NKAWKAW BRANCH,030243
ABSA (GH) LTD,ABSA (GH) LTD-ODA BRANCH,030246
ABSA (GH) LTD,ABSA (GH) LTD-NSAWAM BRANCH,030247
ABSA (GH) LTD,ABSA(GH) LTD - SOMANYA BRANCH,030286
